Temperature,Date
46.2,20100101 00:00
44.6,20100101 01:00
44.1,20100101 02:00
43.8,20100101 03:00
43.5,20100101 04:00
43.0,20100101 05:00
43.1,20100101 06:00
42.3,20100101 07:00
42.5,20100101 08:00
45.9,20100101 09:00
49.4,20100101 10:00
52.4,20100101 11:00
54.9,20100101 12:00
57.1,20100101 13:00
58.4,20100101 14:00
59.1,20100101 15:00
59.1,20100101 16:00
58.0,20100101 17:00
54.5,20100101 18:00
51.3,20100101 19:00
49.2,20100101 20:00
48.1,20100101 21:00
47.2,20100101 22:00
46.4,20100101 23:00
46.5,20100102 00:00
44.9,20100102 01:00
44.4,20100102 02:00
44.1,20100102 03:00
43.9,20100102 04:00
43.3,20100102 05:00
43.5,20100102 06:00
42.6,20100102 07:00
42.8,20100102 08:00
46.3,20100102 09:00
49.9,20100102 10:00
53.0,20100102 11:00
55.5,20100102 12:00
57.7,20100102 13:00
59.0,20100102 14:00
59.7,20100102 15:00
59.7,20100102 16:00
58.6,20100102 17:00
55.1,20100102 18:00
51.8,20100102 19:00
49.8,20100102 20:00
48.6,20100102 21:00
47.6,20100102 22:00
46.8,20100102 23:00
46.8,20100103 00:00
45.2,20100103 01:00
44.7,20100103 02:00
44.5,20100103 03:00
44.1,20100103 04:00
43.4,20100103 05:00
43.7,20100103 06:00
42.8,20100103 07:00
43.0,20100103 08:00
46.4,20100103 09:00
49.9,20100103 10:00
53.1,20100103 11:00
55.6,20100103 12:00
57.8,20100103 13:00
59.1,20100103 14:00
59.8,20100103 15:00
59.8,20100103 16:00
58.6,20100103 17:00
55.2,20100103 18:00
51.8,20100103 19:00
49.7,20100103 20:00
48.5,20100103 21:00
47.5,20100103 22:00
46.6,20100103 23:00
46.6,20100104 00:00
45.0,20100104 01:00
44.5,20100104 02:00
44.3,20100104 03:00
43.9,20100104 04:00
43.2,20100104 05:00
43.4,20100104 06:00
42.6,20100104 07:00
42.9,20100104 08:00
46.3,20100104 09:00
49.8,20100104 10:00
52.9,20100104 11:00
55.4,20100104 12:00
57.6,20100104 13:00
59.0,20100104 14:00
59.7,20100104 15:00
59.7,20100104 16:00
58.5,20100104 17:00
55.1,20100104 18:00
51.6,20100104 19:00
49.5,20100104 20:00
48.3,20100104 21:00
47.3,20100104 22:00
46.4,20100104 23:00
46.5,20100105 00:00
44.9,20100105 01:00
44.5,20100105 02:00
44.3,20100105 03:00
43.9,20100105 04:00
43.2,20100105 05:00
43.5,20100105 06:00
42.7,20100105 07:00
43.0,20100105 08:00
46.4,20100105 09:00
49.9,20100105 10:00
53.0,20100105 11:00
55.6,20100105 12:00
57.8,20100105 13:00
59.2,20100105 14:00
59.9,20100105 15:00
59.9,20100105 16:00
58.7,20100105 17:00
55.3,20100105 18:00
51.8,20100105 19:00
49.7,20100105 20:00
48.5,20100105 21:00
47.5,20100105 22:00
46.5,20100105 23:00
46.8,20100106 00:00
45.2,20100106 01:00
44.6,20100106 02:00
44.4,20100106 03:00
43.9,20100106 04:00
43.2,20100106 05:00
43.4,20100106 06:00
42.6,20100106 07:00
42.8,20100106 08:00
46.2,20100106 09:00
49.7,20100106 10:00
52.8,20100106 11:00
55.3,20100106 12:00
57.5,20100106 13:00
58.8,20100106 14:00
59.6,20100106 15:00
59.5,20100106 16:00
58.3,20100106 17:00
55.1,20100106 18:00
51.5,20100106 19:00
49.4,20100106 20:00
48.2,20100106 21:00
47.2,20100106 22:00
46.3,20100106 23:00
46.4,20100107 00:00
44.8,20100107 01:00
44.4,20100107 02:00
44.1,20100107 03:00
43.6,20100107 04:00
43.0,20100107 05:00
43.1,20100107 06:00
42.3,20100107 07:00
42.5,20100107 08:00
45.9,20100107 09:00
49.5,20100107 10:00
52.7,20100107 11:00
55.2,20100107 12:00
57.4,20100107 13:00
58.8,20100107 14:00
59.5,20100107 15:00
59.5,20100107 16:00
58.3,20100107 17:00
55.0,20100107 18:00
51.4,20100107 19:00
49.3,20100107 20:00
48.0,20100107 21:00
47.0,20100107 22:00
46.1,20100107 23:00
46.2,20100108 00:00
44.6,20100108 01:00
44.3,20100108 02:00
43.9,20100108 03:00
43.4,20100108 04:00
42.8,20100108 05:00
42.9,20100108 06:00
42.1,20100108 07:00
42.2,20100108 08:00
45.7,20100108 09:00
49.3,20100108 10:00
52.5,20100108 11:00
55.0,20100108 12:00
57.2,20100108 13:00
58.6,20100108 14:00
59.4,20100108 15:00
59.4,20100108 16:00
58.2,20100108 17:00
55.0,20100108 18:00
51.4,20100108 19:00
49.4,20100108 20:00
48.1,20100108 21:00
47.1,20100108 22:00
46.1,20100108 23:00
46.2,20100109 00:00
44.7,20100109 01:00
44.3,20100109 02:00
43.9,20100109 03:00
43.4,20100109 04:00
42.9,20100109 05:00
43.0,20100109 06:00
42.3,20100109 07:00
42.4,20100109 08:00
45.8,20100109 09:00
49.3,20100109 10:00
52.5,20100109 11:00
55.0,20100109 12:00
57.1,20100109 13:00
58.5,20100109 14:00
59.3,20100109 15:00
59.2,20100109 16:00
58.1,20100109 17:00
54.8,20100109 18:00
51.3,20100109 19:00
49.3,20100109 20:00
48.0,20100109 21:00
47.0,20100109 22:00
46.2,20100109 23:00
46.2,20100110 00:00
44.7,20100110 01:00
44.3,20100110 02:00
43.9,20100110 03:00
43.4,20100110 04:00
42.9,20100110 05:00
43.0,20100110 06:00
42.3,20100110 07:00
42.5,20100110 08:00
45.8,20100110 09:00
49.3,20100110 10:00
52.5,20100110 11:00
55.0,20100110 12:00
57.1,20100110 13:00
58.5,20100110 14:00
59.3,20100110 15:00
59.3,20100110 16:00
58.1,20100110 17:00
54.8,20100110 18:00
51.3,20100110 19:00
49.3,20100110 20:00
47.9,20100110 21:00
47.0,20100110 22:00
46.1,20100110 23:00
46.1,20100111 00:00
44.7,20100111 01:00
44.2,20100111 02:00
43.8,20100111 03:00
43.4,20100111 04:00
42.9,20100111 05:00
42.9,20100111 06:00
42.3,20100111 07:00
42.5,20100111 08:00
45.8,20100111 09:00
49.2,20100111 10:00
52.3,20100111 11:00
54.8,20100111 12:00
56.8,20100111 13:00
58.2,20100111 14:00
59.1,20100111 15:00
59.0,20100111 16:00
57.9,20100111 17:00
54.7,20100111 18:00
51.1,20100111 19:00
49.2,20100111 20:00
47.9,20100111 21:00
47.0,20100111 22:00
46.1,20100111 23:00
46.0,20100112 00:00
44.6,20100112 01:00
44.2,20100112 02:00
43.8,20100112 03:00
43.4,20100112 04:00
43.0,20100112 05:00
43.0,20100112 06:00
42.4,20100112 07:00
42.6,20100112 08:00
45.8,20100112 09:00
49.2,20100112 10:00
52.3,20100112 11:00
54.8,20100112 12:00
56.8,20100112 13:00
58.2,20100112 14:00
59.1,20100112 15:00
59.0,20100112 16:00
58.0,20100112 17:00
54.8,20100112 18:00
51.2,20100112 19:00
49.3,20100112 20:00
48.0,20100112 21:00
47.1,20100112 22:00
46.1,20100112 23:00
46.1,20100113 00:00
44.6,20100113 01:00
44.1,20100113 02:00
43.8,20100113 03:00
43.4,20100113 04:00
43.0,20100113 05:00
43.1,20100113 06:00
42.5,20100113 07:00
42.7,20100113 08:00
45.8,20100113 09:00
49.2,20100113 10:00
52.3,20100113 11:00
54.7,20100113 12:00
56.8,20100113 13:00
58.1,20100113 14:00
59.0,20100113 15:00
59.0,20100113 16:00
57.9,20100113 17:00
54.8,20100113 18:00
51.3,20100113 19:00
49.3,20100113 20:00
48.0,20100113 21:00
47.1,20100113 22:00
46.0,20100113 23:00
46.0,20100114 00:00
44.6,20100114 01:00
44.0,20100114 02:00
43.6,20100114 03:00
43.2,20100114 04:00
42.8,20100114 05:00
42.9,20100114 06:00
42.2,20100114 07:00
42.4,20100114 08:00
45.8,20100114 09:00
49.1,20100114 10:00
52.2,20100114 11:00
54.6,20100114 12:00
56.7,20100114 13:00
58.1,20100114 14:00
59.0,20100114 15:00
59.0,20100114 16:00
58.0,20100114 17:00
54.8,20100114 18:00
51.2,20100114 19:00
49.2,20100114 20:00
47.8,20100114 21:00
46.8,20100114 22:00
45.8,20100114 23:00
45.8,20100115 00:00
44.4,20100115 01:00
43.9,20100115 02:00
43.4,20100115 03:00
43.0,20100115 04:00
42.6,20100115 05:00
42.8,20100115 06:00
42.1,20100115 07:00
42.3,20100115 08:00
45.8,20100115 09:00
49.2,20100115 10:00
52.3,20100115 11:00
54.7,20100115 12:00
56.8,20100115 13:00
58.2,20100115 14:00
59.2,20100115 15:00
59.1,20100115 16:00
58.1,20100115 17:00
54.9,20100115 18:00
51.2,20100115 19:00
49.3,20100115 20:00
47.9,20100115 21:00
46.9,20100115 22:00
45.8,20100115 23:00
45.7,20100116 00:00
44.5,20100116 01:00
44.0,20100116 02:00
43.5,20100116 03:00
43.1,20100116 04:00
42.7,20100116 05:00
42.8,20100116 06:00
42.1,20100116 07:00
42.5,20100116 08:00
45.9,20100116 09:00
49.3,20100116 10:00
52.4,20100116 11:00
54.7,20100116 12:00
56.9,20100116 13:00
58.3,20100116 14:00
59.2,20100116 15:00
59.2,20100116 16:00
58.2,20100116 17:00
55.0,20100116 18:00
51.4,20100116 19:00
49.5,20100116 20:00
48.1,20100116 21:00
47.0,20100116 22:00
45.9,20100116 23:00
45.7,20100117 00:00
44.6,20100117 01:00
44.1,20100117 02:00
43.6,20100117 03:00
43.1,20100117 04:00
42.7,20100117 05:00
42.8,20100117 06:00
42.0,20100117 07:00
42.5,20100117 08:00
45.9,20100117 09:00
49.2,20100117 10:00
52.3,20100117 11:00
54.6,20100117 12:00
56.7,20100117 13:00
58.1,20100117 14:00
59.1,20100117 15:00
59.0,20100117 16:00
58.1,20100117 17:00
55.0,20100117 18:00
51.4,20100117 19:00
49.4,20100117 20:00
48.0,20100117 21:00
47.0,20100117 22:00
45.9,20100117 23:00
45.7,20100118 00:00
44.5,20100118 01:00
44.0,20100118 02:00
43.4,20100118 03:00
43.0,20100118 04:00
42.7,20100118 05:00
42.7,20100118 06:00
42.0,20100118 07:00
42.5,20100118 08:00
46.0,20100118 09:00
49.4,20100118 10:00
52.5,20100118 11:00
54.8,20100118 12:00
57.0,20100118 13:00
58.4,20100118 14:00
59.4,20100118 15:00
59.4,20100118 16:00
58.4,20100118 17:00
55.4,20100118 18:00
51.8,20100118 19:00
49.8,20100118 20:00
48.4,20100118 21:00
47.4,20100118 22:00
46.3,20100118 23:00
46.0,20100119 00:00
44.9,20100119 01:00
44.3,20100119 02:00
43.8,20100119 03:00
43.3,20100119 04:00
42.9,20100119 05:00
43.0,20100119 06:00
42.2,20100119 07:00
42.7,20100119 08:00
46.2,20100119 09:00
49.7,20100119 10:00
52.8,20100119 11:00
55.1,20100119 12:00
57.2,20100119 13:00
58.6,20100119 14:00
59.6,20100119 15:00
59.6,20100119 16:00
58.7,20100119 17:00
55.6,20100119 18:00
52.1,20100119 19:00
50.2,20100119 20:00
48.8,20100119 21:00
47.7,20100119 22:00
46.5,20100119 23:00
46.1,20100120 00:00
45.2,20100120 01:00
44.6,20100120 02:00
44.0,20100120 03:00
43.5,20100120 04:00
43.1,20100120 05:00
43.1,20100120 06:00
42.3,20100120 07:00
42.7,20100120 08:00
46.2,20100120 09:00
49.7,20100120 10:00
52.8,20100120 11:00
55.1,20100120 12:00
57.2,20100120 13:00
58.6,20100120 14:00
59.7,20100120 15:00
59.6,20100120 16:00
58.7,20100120 17:00
55.7,20100120 18:00
52.3,20100120 19:00
50.3,20100120 20:00
48.9,20100120 21:00
47.8,20100120 22:00
46.7,20100120 23:00
46.2,20100121 00:00
45.3,20100121 01:00
44.7,20100121 02:00
44.3,20100121 03:00
43.8,20100121 04:00
43.4,20100121 05:00
43.5,20100121 06:00
42.8,20100121 07:00
43.3,20100121 08:00
46.6,20100121 09:00
50.0,20100121 10:00
53.1,20100121 11:00
55.4,20100121 12:00
57.6,20100121 13:00
59.0,20100121 14:00
60.1,20100121 15:00
60.1,20100121 16:00
59.2,20100121 17:00
56.2,20100121 18:00
52.9,20100121 19:00
51.0,20100121 20:00
49.6,20100121 21:00
48.5,20100121 22:00
47.4,20100121 23:00
46.9,20100122 00:00
46.1,20100122 01:00
45.4,20100122 02:00
44.9,20100122 03:00
44.4,20100122 04:00
44.1,20100122 05:00
44.1,20100122 06:00
43.4,20100122 07:00
43.9,20100122 08:00
47.1,20100122 09:00
50.4,20100122 10:00
53.4,20100122 11:00
55.7,20100122 12:00
57.8,20100122 13:00
59.2,20100122 14:00
60.3,20100122 15:00
60.2,20100122 16:00
59.4,20100122 17:00
56.5,20100122 18:00
53.3,20100122 19:00
51.3,20100122 20:00
50.0,20100122 21:00
48.9,20100122 22:00
47.9,20100122 23:00
47.4,20100123 00:00
46.5,20100123 01:00
45.8,20100123 02:00
45.3,20100123 03:00
44.8,20100123 04:00
44.4,20100123 05:00
44.5,20100123 06:00
43.7,20100123 07:00
44.2,20100123 08:00
47.4,20100123 09:00
50.6,20100123 10:00
53.5,20100123 11:00
55.8,20100123 12:00
57.9,20100123 13:00
59.3,20100123 14:00
60.4,20100123 15:00
60.4,20100123 16:00
59.5,20100123 17:00
56.8,20100123 18:00
53.4,20100123 19:00
51.3,20100123 20:00
50.0,20100123 21:00
48.9,20100123 22:00
47.9,20100123 23:00
47.4,20100124 00:00
46.5,20100124 01:00
45.8,20100124 02:00
45.3,20100124 03:00
44.8,20100124 04:00
44.4,20100124 05:00
44.5,20100124 06:00
43.6,20100124 07:00
43.9,20100124 08:00
47.2,20100124 09:00
50.5,20100124 10:00
53.6,20100124 11:00
55.9,20100124 12:00
58.0,20100124 13:00
59.4,20100124 14:00
60.5,20100124 15:00
60.4,20100124 16:00
59.6,20100124 17:00
56.9,20100124 18:00
53.6,20100124 19:00
51.5,20100124 20:00
50.1,20100124 21:00
49.0,20100124 22:00
48.0,20100124 23:00
47.5,20100125 00:00
46.6,20100125 01:00
45.9,20100125 02:00
45.4,20100125 03:00
44.9,20100125 04:00
44.4,20100125 05:00
44.6,20100125 06:00
43.6,20100125 07:00
43.9,20100125 08:00
47.2,20100125 09:00
50.6,20100125 10:00
53.7,20100125 11:00
56.0,20100125 12:00
58.0,20100125 13:00
59.6,20100125 14:00
60.6,20100125 15:00
60.6,20100125 16:00
59.7,20100125 17:00
57.1,20100125 18:00
53.9,20100125 19:00
51.7,20100125 20:00
50.3,20100125 21:00
49.2,20100125 22:00
48.3,20100125 23:00
47.7,20100126 00:00
46.8,20100126 01:00
46.1,20100126 02:00
45.5,20100126 03:00
45.0,20100126 04:00
44.5,20100126 05:00
44.6,20100126 06:00
43.5,20100126 07:00
43.9,20100126 08:00
47.3,20100126 09:00
50.8,20100126 10:00
53.9,20100126 11:00
56.2,20100126 12:00
58.3,20100126 13:00
59.8,20100126 14:00
60.9,20100126 15:00
60.9,20100126 16:00
60.1,20100126 17:00
57.4,20100126 18:00
54.0,20100126 19:00
51.8,20100126 20:00
50.3,20100126 21:00
49.2,20100126 22:00
48.3,20100126 23:00
47.7,20100127 00:00
46.8,20100127 01:00
46.0,20100127 02:00
45.5,20100127 03:00
44.8,20100127 04:00
44.4,20100127 05:00
44.5,20100127 06:00
43.5,20100127 07:00
44.0,20100127 08:00
47.4,20100127 09:00
50.9,20100127 10:00
54.0,20100127 11:00
56.3,20100127 12:00
58.4,20100127 13:00
59.9,20100127 14:00
60.9,20100127 15:00
60.9,20100127 16:00
60.1,20100127 17:00
57.5,20100127 18:00
54.0,20100127 19:00
51.9,20100127 20:00
50.4,20100127 21:00
49.3,20100127 22:00
48.4,20100127 23:00
47.8,20100128 00:00
46.9,20100128 01:00
46.2,20100128 02:00
45.6,20100128 03:00
45.0,20100128 04:00
44.5,20100128 05:00
44.5,20100128 06:00
43.6,20100128 07:00
44.1,20100128 08:00
47.5,20100128 09:00
51.0,20100128 10:00
54.1,20100128 11:00
56.4,20100128 12:00
58.5,20100128 13:00
59.9,20100128 14:00
60.9,20100128 15:00
61.0,20100128 16:00
60.1,20100128 17:00
57.6,20100128 18:00
54.1,20100128 19:00
51.8,20100128 20:00
50.5,20100128 21:00
49.3,20100128 22:00
48.4,20100128 23:00
47.9,20100129 00:00
47.0,20100129 01:00
46.3,20100129 02:00
45.7,20100129 03:00
45.1,20100129 04:00
44.7,20100129 05:00
44.8,20100129 06:00
43.8,20100129 07:00
44.3,20100129 08:00
47.6,20100129 09:00
51.0,20100129 10:00
54.1,20100129 11:00
56.3,20100129 12:00
58.3,20100129 13:00
59.8,20100129 14:00
60.7,20100129 15:00
60.8,20100129 16:00
59.9,20100129 17:00
57.5,20100129 18:00
54.0,20100129 19:00
51.8,20100129 20:00
50.4,20100129 21:00
49.4,20100129 22:00
48.4,20100129 23:00
47.8,20100130 00:00
46.9,20100130 01:00
46.2,20100130 02:00
45.6,20100130 03:00
45.1,20100130 04:00
44.6,20100130 05:00
44.7,20100130 06:00
43.7,20100130 07:00
44.2,20100130 08:00
47.5,20100130 09:00
50.8,20100130 10:00
53.8,20100130 11:00
56.1,20100130 12:00
58.1,20100130 13:00
59.6,20100130 14:00
60.6,20100130 15:00
60.7,20100130 16:00
59.9,20100130 17:00
57.5,20100130 18:00
54.0,20100130 19:00
51.8,20100130 20:00
50.4,20100130 21:00
49.3,20100130 22:00
48.3,20100130 23:00
47.8,20100131 00:00
46.8,20100131 01:00
46.1,20100131 02:00
45.5,20100131 03:00
45.0,20100131 04:00
44.5,20100131 05:00
44.7,20100131 06:00
43.7,20100131 07:00
44.2,20100131 08:00
47.5,20100131 09:00
50.8,20100131 10:00
54.0,20100131 11:00
56.2,20100131 12:00
58.2,20100131 13:00
59.8,20100131 14:00
60.7,20100131 15:00
60.9,20100131 16:00
60.0,20100131 17:00
57.7,20100131 18:00
54.2,20100131 19:00
51.9,20100131 20:00
50.4,20100131 21:00
49.3,20100131 22:00
48.2,20100131 23:00
47.8,20100201 00:00